"grna_target","response_id","t_test","wilcoxon_test"
"candidate_enh_1","ENSG00000087152",0.535035813371806,21878323.8874512
"candidate_enh_1","ENSG00000091947",0.689849021732976,21952189.2963867
"candidate_enh_1","ENSG00000108309",0.799096389197021,22026539
"candidate_enh_1","ENSG00000108312",0.441486754905148,22514026.1103516
"candidate_enh_1","ENSG00000108840",0.908652714945491,21931808.1240234
"candidate_enh_1","ENSG00000108849",0.251877985377821,22011336.5
"candidate_enh_1","ENSG00000108852",0.114922289976295,21839158
"candidate_enh_1","ENSG00000108861",0.935600871181785,21920301.7646484
"candidate_enh_1","ENSG00000108883",0.982629706489791,21766544.0708008
"candidate_enh_1","ENSG00000125319",0.713589878132252,21977247
"candidate_enh_1","ENSG00000131094",0.803523322348027,22032460
"candidate_enh_1","ENSG00000131097",0.451776354930577,22087047.5
"candidate_enh_1","ENSG00000136448",0.999226112400089,22065848.0893555
"candidate_enh_1","ENSG00000141349",0.581921636451747,22024982.6660156
"candidate_enh_1","ENSG00000161647",0.838814796731828,22075641.5
"candidate_enh_1","ENSG00000161654",0.860924253087895,22415729.6865234
"candidate_enh_1","ENSG00000161682",0.835829086022855,22030633
"candidate_enh_1","ENSG00000161692",0.943742683747247,22113484
"candidate_enh_1","ENSG00000161714",0.0913453754486403,21857876.5
"candidate_enh_1","ENSG00000168591",0.989584967774115,22169275.3828125
"candidate_enh_1","ENSG00000172992",0.498733681994958,21857269
"candidate_enh_1","ENSG00000175832",0.898383704981431,22051503.8200684
"candidate_enh_1","ENSG00000175906",0.775556344557758,22096633
"candidate_enh_1","ENSG00000180329",0.365844751905558,22409050.2597656
"candidate_enh_1","ENSG00000180340",0.525076375156447,21996523
"candidate_enh_1","ENSG00000181513",0.522586817816854,22156848.5
"candidate_enh_1","ENSG00000182963",0.674976954073766,22050711
"candidate_enh_1","ENSG00000184988",0.248936060174407,21987156
"candidate_enh_1","ENSG00000186185",0.362357937719808,21866400
"candidate_enh_1","ENSG00000186566",0.777680171461068,21873925.2133789
"candidate_enh_1","ENSG00000188554",0.232129049909778,22430221.8867188
"candidate_enh_1","ENSG00000011304",0.499690616003227,21823715.3828125
"candidate_enh_1","ENSG00000064666",0.452870858797747,21590975.4472656
"candidate_enh_1","ENSG00000064687",0.286892531414685,21855035.5
"candidate_enh_1","ENSG00000064932",0.0823090556898862,22352862.5
"candidate_enh_1","ENSG00000065000",0.661575595895124,22411735.9287109
